	Real	Imaginary
0	-0.4804818	0.81445116
1	-0.4804818	-0.81445116
2	-0.7808624	0.5358397
3	-0.7808624	-0.5358397
4	-0.6688614	0.6604676
5	-0.6688614	-0.6604676
6	-0.7296673	0.60643804
7	-0.7296673	-0.60643804
8	-0.29117978	0.9007085
9	-0.29117978	-0.9007085
10	0.9173858	0.13731244
11	0.9173858	-0.13731244
12	-0.90365267	0.23652555
13	-0.90365267	-0.23652555
14	-0.8276421	0.37420505
15	-0.8276421	-0.37420505
16	-0.93142974	0.15814449
17	-0.93142974	-0.15814449
18	-0.13391957	0.92693174
19	-0.13391957	-0.92693174
20	0.7280521	0.5907567
21	0.7280521	-0.5907567
22	0.88753724	0.053208582
23	0.88753724	-0.053208582
24	0.6254265	0.71375495
25	0.6254265	-0.71375495
26	-0.93103707	0.037457086
27	-0.93103707	-0.037457086
28	0.6549602	0.6492185
29	0.6549602	-0.6492185
30	0.15074569	0.9344412
31	0.15074569	-0.9344412
32	0.50686586	0.79735005
33	0.50686586	-0.79735005
34	0.43946877	0.833774
35	0.43946877	-0.833774
36	0.319004	0.87290347
37	0.319004	-0.87290347
38	0.22000375	0.89379936
39	0.22000375	-0.89379936
40	0.7992909	0.25196823
41	0.7992909	-0.25196823
42	0.36193496	0.7926591
43	0.36193496	-0.7926591
44	-0.45742503	0.71185464
45	-0.45742503	-0.71185464
46	0.45279622	0.6920035
47	0.45279622	-0.6920035
48	-0.061425902	0.8130515
49	-0.061425902	-0.8130515
50	0.7130673	0.19150127
51	0.7130673	-0.19150127
52	-0.7570455	0.15103698
53	-0.7570455	-0.15103698
54	0.6552476	0.0
55	-0.13794509	0.68234366
56	-0.13794509	-0.68234366
57	0.5982374	0.21820267
58	0.5982374	-0.21820267
59	0.4419568	0.47073787
60	0.4419568	-0.47073787
61	-0.04318525	0.6580657
62	-0.04318525	-0.6580657
63	0.20834285	0.6213883
64	0.20834285	-0.6213883
65	-0.54537195	0.3231356
66	-0.54537195	-0.3231356
67	-0.20517	0.56803423
68	-0.20517	-0.56803423
69	0.49599004	0.2812299
70	0.49599004	-0.2812299
71	-0.58617735	0.0
72	-0.35650223	0.42017484
73	-0.35650223	-0.42017484
74	0.47695243	0.0
75	-0.5391867	0.0
76	0.4040676	0.29017302
77	0.4040676	-0.29017302
78	-0.11615098	0.4619176
79	-0.11615098	-0.4619176
80	0.12006247	0.4460427
81	0.12006247	-0.4460427
82	-0.40306008	0.2029956
83	-0.40306008	-0.2029956
84	-0.28680927	0.34850082
85	-0.28680927	-0.34850082
86	-0.33811283	0.0
87	0.23877616	0.24951941
88	0.23877616	-0.24951941
89	0.18231471	0.0
90	0.053916626	0.25862715
91	0.053916626	-0.25862715
92	0.14587411	0.19262305
93	0.14587411	-0.19262305
94	-0.23655996	0.13463704
95	-0.23655996	-0.13463704
96	-0.11752571	0.0
97	-0.030995691	0.0
98	-0.049638443	0.16290988
99	-0.049638443	-0.16290988
