	fit	reference
0	1.012040488733606	1.002247548727457
1	1.0252026294208627	1.0231923834382204
2	1.0311813809600763	1.0325973508238433
3	1.0345966777287334	1.0379396935851142
4	1.0368061368542367	1.0413842222121394
5	1.0119787008055232	1.0017695112244454
6	1.0251566743803242	1.0228533572510268
7	1.0311418474272167	1.0323129760599308
8	1.034560596459411	1.037684220260981
9	1.0367722053152146	1.0411465607314943
10	1.011820995312971	1.0012565553836956
11	1.0250373612538668	1.0224876000296346
12	1.031038203499269	1.032005167830504
13	1.0344654074581237	1.0374070865295237
14	1.036682294025171	1.0408883444711188
15	1.0116627979393875	1.0007397076841014
16	1.0249177245412273	1.0221195015874298
17	1.0309342976243419	1.0316955528380662
18	1.0343699879183321	1.0371284096157873
19	1.0365921711123147	1.0406287405108352
20	-0.00010345342009321075	-0.0001811067672753199
21	-9.275832584720083e-05	-0.0001402705455825323
22	-4.648245988004784e-05	-9.426280410973171e-05
23	0.000997739100998466	-3.671050450864483e-05
24	0.3212171214279203	0.32415624915119723
25	0.9983819386389694	1.000218923664983
26	1.024797762924233	1.0217490393729198
27	1.030830128808122	1.031384115127871
28	1.0342743370015084	1.0368481765942774
29	1.0365018358286249	1.0403677376338853
30	-0.00010526057267121028	-0.00018232184620469154
31	-9.47571678772701e-05	-0.00014206939532090872
32	-4.9747603656061854e-05	-9.729856082573437e-05
33	0.00034329375867796886	-4.333333376756641e-05
34	0.20868234285178827	0.20892165538716467
35	0.8064036831991244	0.8073338417817825
36	0.9909231149504497	0.9807966320190055
37	1.0307309653218255	1.0310992355458963
38	1.034183291511889	1.0365917999452934
39	1.0364158557646843	1.0401289235701778
40	-0.00010634867207208594	-0.00018305756321087646
41	-9.595276622366432e-05	-0.00014313577150612325
42	-5.161907492864059e-05	-9.902347461447899e-05
43	-1.751199746839213e-07	-4.687336098456464e-05
44	0.1542201143135735	0.15377258715841463
45	0.7400143201647398	0.742015332177261
46	0.9283556169372104	0.9215739574659285
47	0.9853939277101721	0.9870581083751473
48	1.0137178645560885	1.0182788957749633
49	1.0346900820043687	1.0399999263457733
50	-0.00010704661813442729	-0.0001835305904753245
51	-9.671680309157772e-05	-0.0001438131248879408
52	-5.278784520463366e-05	-0.0001000943863970913
53	-2.3097582027220677e-06	-4.894087342686717e-05
54	0.12241972773325824	0.12177696517554291
55	0.6996383915416959	0.7022542958687347
56	0.901088283187537	0.8950674356570425
57	0.9643964201143439	0.9622806111997555
58	0.9904248335487539	0.9957682507743985
59	1.0048711790330742	1.0137371918421678
60	-0.00010753271900218644	-0.0001838604552266838
61	-9.724768357977617e-05	-0.00014428185853472393
62	-5.3588600530636276e-05	-0.0001008251820280781
63	-3.724429259605427e-06	-5.0304257692029294e-05
64	0.1013912434130579	0.10070569950537044
65	0.6715596283562694	0.6746659324786053
66	0.88394823790054	0.8781832094474634
67	0.9515398779639808	0.9476044161679811
68	0.9795539761919967	0.9828045696106277
69	0.9945140018673223	1.0021543132846256
70	-0.00010789084614227141	-0.00018410366037916492
71	-9.76381680069215e-05	-0.00014462561719061145
72	-5.417200391117979e-05	-0.00010135608671210203
73	-4.733305442358769e-06	-5.127314938854433e-05
74	0.08640232232505664	0.08572932496374253
75	0.6506900398745769	0.654208898746316
76	0.8718672263067778	0.8662347260591747
77	0.9423118194194989	0.9375974699189923
78	0.9721707462427165	0.9736648879456544
79	0.9878698188142987	0.9943171433506297
